id_local,id_osm,code_com_d,ame_d,sens_d,local_d,statut_d,code_com_g,ame_g,sens_g,statut_g,date_maj
id_loc921858766,way/921858766,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2021-03-24
id_loc921858765,way/921858765,34172,AUTRE,UNIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUTRE,UNIDIRECTIONNEL,EN SERVICE,2021-03-24
id_loc363734153,way/363734153,34172,BANDE CYCLABLE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34172,AUCUN,,EN SERVICE,2021-08-06
id_loc449390715,way/449390715,34172,BANDE CYCLABLE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34172,AUCUN,,EN SERVICE,2024-05-04
id_loc1279694086,way/1279694086,34172,BANDE CYCLABLE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34172,AUCUN,,EN SERVICE,2024-05-04
id_loc449390714,way/449390714,34172,BANDE CYCLABLE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34172,AUCUN,,EN SERVICE,2021-08-06
id_loc299746455,way/299746455,34172,BANDE CYCLABLE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34172,AUCUN,,EN SERVICE,2021-08-06
id_loc299746456,way/299746456,34172,BANDE CYCLABLE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34172,BANDE CYCLABLE,UNIDIRECTIONNEL,EN SERVICE,2021-08-06
id_loc299746453,way/299746453,34172,BANDE CYCLABLE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34172,AUCUN,,EN SERVICE,2021-12-17
id_loc121243805,way/121243805,34169,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34169,AUCUN,,EN SERVICE,2021-04-13
id_loc930338575,way/930338575,34169,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34169,AUCUN,,EN SERVICE,2021-04-13
id_loc930338573,way/930338573,34169,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34169,AUCUN,,EN SERVICE,2021-04-13
id_loc644034305,way/644034305,34172,PISTE CYCLABLE,UNIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2024-08-26
id_loc48823459,way/48823459,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2023-10-24
id_loc374829526,way/374829526,34172,PISTE CYCLABLE,UNIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-03-23
id_loc298749903,way/298749903,34172,PISTE CYCLABLE,UNIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-09-14
id_loc919235415,way/919235415,34172,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,UNIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-03-23
id_loc919235416,way/919235416,34172,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-03-07
id_loc919235417,way/919235417,34172,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2024-02-24
id_loc762858670,way/762858670,34172,AUTRE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-09-14
id_loc294834036,way/294834036,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-03-23
id_loc48823448,way/48823448,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-03-07
id_loc546591673,way/546591673,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-03-23
id_loc546591671,way/546591671,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-03-23
id_loc562572909,way/562572909,34172,AMENAGEMENT MIXTE PIETON VELO HORS VOIE VERTE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-03-23
id_loc547914773,way/547914773,34172,PISTE CYCLABLE,UNIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-03-23
id_loc547914770,way/547914770,34172,PISTE CYCLABLE,UNIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-03-23
id_loc145145970,way/145145970,34172,PISTE CYCLABLE,UNIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2023-06-10
id_loc26550331,way/26550331,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-03-23
id_loc762858673,way/762858673,34172,AUTRE,UNIDIRECTIONNEL,CHAUSSEE,EN SERVICE,34172,AUCUN,,EN SERVICE,2024-02-24
id_loc162938366,way/162938366,34172,PISTE CYCLABLE,BIDIRECTIONNEL,TROTTOIR,EN SERVICE,34172,AUCUN,,EN SERVICE,2022-04-29
