nom,secteur,installati,commune,numero,type_stati,longitude,latitude
Providence-Ovalie,Le Grand M,8 vélos,MONTPELLIER,54,sans CB,3.8533694165681176,43.588146094261404
Pérols,ligne 3,68 vélos,PEROLS,0,avec CB,3.9632253929019656,43.558365592243646
Euromédecine,ligne 1,8 vélos,MONTPELLIER,41,sans CB,3.8280650328708665,43.639005165733096
Malbosc,ligne 1,8 vélos,MONTPELLIER,35,sans CB,3.832837148070549,43.63358879897603
Hôtel du Département,ligne 3,8 vélos,MONTPELLIER,48,sans CB,3.8345662475551023,43.621744395537746
Celleneuve, ,8 vélos,MONTPELLIER,44,sans CB,3.832563197674901,43.61476999921722
Tonnelles,ligne 3,8 vélos,MONTPELLIER,49,sans CB,3.839526090973875,43.615133078297234
Occitanie,ligne 1,32 vélos,MONTPELLIER,36,avec CB,3.849068026187199,43.634724350930576
Fac des Sciences, ,24 vélos,MONTPELLIER,37,sans CB,3.860746098463359,43.63092222820969
Boutonnet,ligne 1,12 vélos,MONTPELLIER,12,avec CB,3.8680920541841957,43.62252029677029
Charles Flahault, ,8 vélos,MONTPELLIER,30,sans CB,3.8659192060656844,43.61899438372216
Place Viala, ,8 vélos,MONTPELLIER,47,avec CB,3.8549660094151283,43.61682747727848
Père Soulas, ,8 vélos,MONTPELLIER,46,sans CB,3.8560667540332227,43.62158616976555
Aiguelongue,ligne 2,8 vélos,MONTPELLIER,39,sans CB,3.8824746926538367,43.62608545002592
Marie Caizergues, ,8 vélos,MONTPELLIER,42,sans CB,3.873649684887601,43.619855066954536
Jeu de Mail des Abbés,ligne 2,8 vélos,MONTPELLIER,40,sans CB,3.883719147179905,43.61963564668062
Les Aubes, ,8 vélos,MONTPELLIER,15,sans CB,3.8937259387474787,43.61859575990658
Louis Blanc,lignes 1-4,16 vélos,MONTPELLIER,19,avec CB,3.8774872829973717,43.61466541195583
Emile Combes, ,16 vélos,MONTPELLIER,13,sans CB,3.8799799580837124,43.61682967588317
Corum,lignes 1-2-4,12 vélos,MONTPELLIER,5,avec CB,3.8820685780868214,43.61455465352989
Beaux-Arts,ligne 2,16 vélos,MONTPELLIER,14,sans CB,3.8851408830432232,43.61673621013607
Les Arceaux,Peyrou,16 vélos,MONTPELLIER,23,avec CB,3.867183922095667,43.61196753906051
