Departure,Return,Departure station,Return station,Covered distance (m),Duration (sec.),Geocoded Departure Station,Geocoded Return Station
2024-09-01 23:57:23,2024-09-02 00:08:24,002 Comédie,012 Boutonnet,2227.0,653,43.60918635,44.9782454
2024-09-01 23:55:08,2024-09-02 00:03:28,011 Plan Cabanes,025 Nouveau Saint-Roch,1343.0,496,43.608824,43.1205741
2024-09-01 23:51:43,2024-09-01 23:57:33,010 Rondelet,011 Plan Cabanes,971.0,346,48.532387,43.608824
2024-09-01 23:50:02,2024-09-02 00:04:16,012 Boutonnet,046 Père Soulas,3156.0,849,44.9782454,43.629507950000004
2024-09-01 23:46:51,2024-09-02 00:16:50,021 Port Marianne,021 Port Marianne,3589.0,1792,43.6059165,43.6059165
2024-09-01 23:46:12,2024-09-02 00:16:55,021 Port Marianne,021 Port Marianne,3544.0,1836,43.6059165,43.6059165
2024-09-01 23:32:06,2024-09-02 00:02:51,021 Port Marianne,057 Saint-Guilhem,3401.0,1840,43.6059165,43.8573737
2024-09-01 23:29:11,2024-09-02 00:02:47,021 Port Marianne,057 Saint-Guilhem,3485.0,2011,43.6059165,43.8573737
2024-09-01 23:27:35,2024-09-01 23:28:36,021 Port Marianne,021 Port Marianne,8.0,58,43.6059165,43.6059165
2024-09-01 23:22:36,2024-09-01 23:22:57,021 Port Marianne,021 Port Marianne,0.0,17,43.6059165,43.6059165
2024-09-01 23:21:53,2024-09-01 23:22:15,021 Port Marianne,021 Port Marianne,0.0,17,43.6059165,43.6059165
2024-09-01 23:17:37,2024-09-01 23:40:07,043 Sabines,002 Comédie,4376.0,1344,21.1237455,43.60918635
2024-09-01 23:12:53,2024-09-02 00:34:45,010 Rondelet,010 Rondelet,9139.0,4900,48.532387,48.532387
2024-09-01 23:12:20,2024-09-01 23:43:10,029 Richter,029 Richter,4800.0,1846,43.12495056853164,43.12495056853164
2024-09-01 23:11:53,2024-09-01 23:12:18,010 Rondelet,010 Rondelet,0.0,20,48.532387,48.532387
2024-09-01 22:37:03,2024-09-01 22:44:32,013 Emile Combes,015 Les Aubes,1441.0,444,48.0988877,44.9765974
2024-09-01 22:28:43,2024-09-01 22:51:48,009 Observatoire,049 Tonnelles,3365.0,1380,48.8295667,45.3878932
2024-09-01 22:27:55,2024-09-01 22:51:56,009 Observatoire,049 Tonnelles,3401.0,1437,48.8295667,45.3878932
2024-09-01 22:09:03,2024-09-01 22:19:00,047 Place Viala,009 Observatoire,2272.0,593,43.8823078,48.8295667
2024-09-01 22:06:11,2024-09-01 22:06:31,012 Boutonnet,012 Boutonnet,0.0,16,44.9782454,44.9782454
2024-09-01 22:02:38,2024-09-01 22:13:02,011 Plan Cabanes,011 Plan Cabanes,1096.0,619,43.608824,43.608824
2024-09-01 21:47:59,2024-09-01 21:52:30,009 Observatoire,057 Saint-Guilhem,498.0,266,48.8295667,43.8573737
2024-09-01 21:36:31,2024-09-01 21:44:53,012 Boutonnet,007 Foch,1415.0,499,44.9782454,46.715742
2024-09-01 21:30:42,2024-09-01 21:31:06,036 Occitanie,036 Occitanie,0.0,19,43.46674525,43.46674525
2024-09-01 21:22:57,2024-09-01 21:34:11,025 Nouveau Saint-Roch,020 Gambetta,2144.0,670,43.1205741,37.698757705322194
2024-09-01 21:20:56,2024-09-01 21:22:43,025 Nouveau Saint-Roch,025 Nouveau Saint-Roch,55.0,103,43.1205741,43.1205741
2024-09-01 21:13:49,2024-09-01 21:55:40,002 Comédie,036 Occitanie,6036.0,2506,43.60918635,43.46674525
2024-09-01 21:12:23,2024-09-01 21:55:07,002 Comédie,036 Occitanie,6032.0,2560,43.60918635,43.46674525
2024-09-01 20:57:03,2024-09-01 21:24:34,043 Sabines,009 Observatoire,4357.0,1646,21.1237455,48.8295667
2024-09-01 20:56:16,2024-09-01 21:08:21,012 Boutonnet,009 Observatoire,2186.0,720,44.9782454,48.8295667
2024-09-01 20:55:59,2024-09-01 21:24:29,043 Sabines,009 Observatoire,4096.0,1705,21.1237455,48.8295667
2024-09-01 20:54:51,2024-09-01 20:55:11,021 Port Marianne,021 Port Marianne,0.0,15,43.6059165,43.6059165
2024-09-01 20:54:25,2024-09-01 21:15:37,007 Foch,039 Aiguelongue,4647.0,1268,46.715742,43.6331438
2024-09-01 20:44:18,2024-09-01 21:22:23,029 Richter,044 Celleneuve,6164.0,2281,43.12495056853164,43.6137045
2024-09-01 20:43:59,2024-09-01 21:22:30,029 Richter,044 Celleneuve,6156.0,2306,43.12495056853164,43.6137045
