Departure,Return,Departure station,Return station,Covered distance (m),Duration (sec.)
2024-09-01 23:57:23,2024-09-02 00:08:24,vélostation Comédie,vélostation Boutonnet,2227.0,653
2024-09-01 23:55:08,2024-09-02 00:03:28,vélostation Plan Cabanes,vélostation Nouveau Saint-Roch,1343.0,496
2024-09-01 23:53:08,2024-09-02 01:45:52,vélostation Médiathèque Emile Zola,vélostation Médiathèque Emile Zola,5660.0,6756
2024-09-01 23:52:16,2024-09-02 01:23:33,vélostation Médiathèque Emile Zola,vélostation Richter,5031.0,5469
2024-09-01 23:51:43,2024-09-01 23:57:33,vélostation Rondelet,vélostation Plan Cabanes,971.0,346
2024-09-01 23:50:02,2024-09-02 00:04:16,vélostation Boutonnet,vélostation Père Soulas,3156.0,849
2024-09-01 23:47:35,2024-09-02 00:34:40,vélostation Place Albert 1er - St Charles,vélostation Rondelet,5686.0,2817
2024-09-01 23:46:51,2024-09-02 00:16:50,vélostation Port Marianne,vélostation Port Marianne,3589.0,1792
2024-09-01 23:46:40,2024-09-02 00:19:26,vélostation fac des sciences,vélostation fac des sciences,4177.0,1958
2024-09-01 23:46:40,2024-09-02 00:19:53,vélostation fac des sciences,vélostation fac des sciences,4719.0,1985
2024-09-01 23:46:12,2024-09-02 00:16:55,vélostation Port Marianne,vélostation Port Marianne,3544.0,1836
2024-09-01 23:45:31,2024-09-02 00:23:49,vélostation fac des sciences,vélostation fac des sciences,4494.0,2290
2024-09-01 23:45:24,2024-09-01 23:45:59,vélostation fac des sciences,vélostation fac des sciences,0.0,31
2024-09-01 23:44:59,2024-09-02 00:19:47,vélostation fac des sciences,vélostation fac des sciences,4498.0,2080
2024-09-01 23:44:48,2024-09-02 00:55:35,vélostation fac des sciences,vélostation Charles Flahault,6836.0,4239
2024-09-01 23:43:37,2024-09-02 00:10:43,vélostation Boutonnet,vélostation Fac de Lettres,3150.0,1622
2024-09-01 23:43:16,2024-09-01 23:43:37,vélostation fac des sciences,vélostation fac des sciences,0.0,16
2024-09-01 23:42:57,2024-09-02 00:10:36,vélostation Boutonnet,vélostation Fac de Lettres,3093.0,1656
2024-09-01 23:42:50,2024-09-02 00:19:59,vélostation fac des sciences,vélostation fac des sciences,5039.0,2220
2024-09-01 23:42:48,2024-09-02 00:20:08,vélostation fac des sciences,vélostation fac des sciences,4676.0,2230
2024-09-01 23:42:08,2024-09-02 00:50:05,vélostation fac des sciences,vélostation Boutonnet,6350.0,4069
2024-09-01 23:32:06,2024-09-02 00:02:51,vélostation Port Marianne,vélostation Saint-Guilhem,3401.0,1840
2024-09-01 23:29:11,2024-09-02 00:02:47,vélostation Port Marianne,vélostation Saint-Guilhem,3485.0,2011
2024-09-01 23:27:35,2024-09-01 23:28:36,vélostation Port Marianne,vélostation Port Marianne,8.0,58
2024-09-01 23:25:55,2024-09-01 23:49:18,vélostation Rue Jules Ferry - Gare Saint-Roch,vélostation Père Soulas,3261.0,1398
2024-09-01 23:25:38,2024-09-01 23:32:19,vélostation Place Albert 1er - St Charles,vélostation Boutonnet,974.0,396
2024-09-01 23:25:38,2024-09-02 00:06:15,vélostation Père Soulas,vélostation fac des sciences,3812.0,2430
2024-09-01 23:25:25,2024-09-01 23:32:21,vélostation Place Albert 1er - St Charles,vélostation Boutonnet,898.0,412
2024-09-01 23:25:02,2024-09-02 00:06:38,vélostation Père Soulas,vélostation fac des sciences,3857.0,2488
2024-09-01 23:23:16,2024-09-01 23:39:46,vélostation Port Marianne,vélostation Nombre d'Or,2152.0,986
2024-09-01 23:22:36,2024-09-01 23:22:57,vélostation Port Marianne,vélostation Port Marianne,0.0,17
2024-09-01 23:21:53,2024-09-01 23:22:15,vélostation Port Marianne,vélostation Port Marianne,0.0,17
2024-09-01 23:21:34,2024-09-02 00:35:41,vélostation Rue Jules Ferry - Gare Saint-Roch,vélostation Rondelet,8713.0,4439
2024-09-01 23:21:17,2024-09-01 23:39:26,vélostation Port Marianne,vélostation Nombre d'Or,2184.0,1085
2024-09-01 23:18:00,2024-09-01 23:29:52,vélostation Antigone centre,vélostation Jeu de Mail des Abbés,1964.0,709
2024-09-01 23:17:37,2024-09-01 23:40:07,vélostation Sabines,vélostation Comédie,4376.0,1344
2024-09-01 23:17:36,2024-09-01 23:30:14,vélostation Antigone centre,vélostation Jeu de Mail des Abbés,1986.0,752
2024-09-01 23:14:23,2024-09-01 23:20:16,vélostation Rondelet,vélostation Rue Jules Ferry - Gare Saint-Roch,618.0,348
2024-09-01 23:12:53,2024-09-02 00:34:45,vélostation Rondelet,vélostation Rondelet,9139.0,4900
2024-09-01 23:12:20,2024-09-01 23:43:10,vélostation Richter,vélostation Richter,4800.0,1846
2024-09-01 23:11:53,2024-09-01 23:12:18,vélostation Rondelet,vélostation Rondelet,0.0,20
2024-09-01 23:10:41,2024-09-01 23:46:25,vélostation Rondelet,vélostation Place Albert 1er - St Charles,3734.0,2138
2024-09-01 22:58:35,2024-09-01 23:23:10,vélostation Jardin de la Lironde,vélostation Boutonnet,5623.0,1470
2024-09-01 22:50:48,2024-09-01 23:01:14,vélostation Prés d'Arènes,vélostation Saint-Denis,1925.0,622
2024-09-01 22:43:44,2024-09-02 00:21:01,vélostation Comédie,vélostation Hôtel de Ville,6422.0,5829
2024-09-01 22:42:53,2024-09-02 00:21:16,vélostation Comédie,vélostation Hôtel de Ville,5399.0,5896
2024-09-01 22:38:26,2024-09-01 22:51:16,vélostation Fac de Lettres,vélostation Comédie,3018.0,763
2024-09-01 22:37:03,2024-09-01 22:44:32,vélostation Emile Combes,vélostation Les Aubes,1441.0,444
2024-09-01 22:37:01,2024-09-01 22:51:13,vélostation Fac de Lettres,vélostation Comédie,3058.0,846
2024-09-01 22:34:54,2024-09-01 23:06:05,vélostation Place Albert 1er - St Charles,vélostation Place Albert 1er - St Charles,3334.0,1865
2024-09-01 22:28:43,2024-09-01 22:51:48,vélostation Observatoire,vélostation Tonnelles,3365.0,1380
2024-09-01 22:27:55,2024-09-01 22:51:56,vélostation Observatoire,vélostation Tonnelles,3401.0,1437
2024-09-01 22:21:13,2024-09-01 22:57:46,vélostation Pont de Lattes - Gare Saint-Roch,vélostation Nombre d'Or,3718.0,2189
2024-09-01 22:21:10,2024-09-01 22:34:28,vélostation Place Albert 1er - St Charles,vélostation Place Viala,2967.0,793
2024-09-01 22:20:50,2024-09-01 23:06:23,vélostation Place Albert 1er - St Charles,vélostation Place Albert 1er - St Charles,3826.0,2728
2024-09-01 22:18:22,2024-09-02 00:21:07,vélostation Hôtel de Ville,vélostation Hôtel de Ville,7608.0,7357
2024-09-01 22:16:47,2024-09-01 22:42:10,vélostation Hôtel de Ville,vélostation Comédie,2348.0,1518
2024-09-01 22:16:35,2024-09-01 23:06:30,vélostation Place Albert 1er - St Charles,vélostation Place Albert 1er - St Charles,3630.0,2991
2024-09-01 22:15:38,2024-09-01 22:19:08,vélostation Place Albert 1er - St Charles,vélostation Place Albert 1er - St Charles,32.0,206
2024-09-01 22:13:25,2024-09-01 22:36:40,vélostation Rue Jules Ferry - Gare Saint-Roch,vélostation Malbosc,5750.0,1390
2024-09-01 22:12:48,2024-09-01 22:58:19,vélostation Nombre d'Or,vélostation Nombre d'Or,4045.0,2727
2024-09-01 22:12:23,2024-09-01 22:57:49,vélostation Nombre d'Or,vélostation Nombre d'Or,4231.0,2721
2024-09-01 22:11:53,2024-09-01 22:58:05,vélostation Nombre d'Or,vélostation Nombre d'Or,4030.0,2768
2024-09-01 22:10:10,2024-09-01 22:25:19,vélostation Rue Jules Ferry - Gare Saint-Roch,vélostation Place Albert 1er - St Charles,1970.0,904
2024-09-01 22:09:03,2024-09-01 22:19:00,vélostation Place Viala,vélostation Observatoire,2272.0,593
2024-09-01 22:07:06,2024-09-01 22:28:06,vélostation Boutonnet,vélostation Fac de Lettres,2574.0,1256
2024-09-01 22:06:11,2024-09-01 22:06:31,vélostation Boutonnet,vélostation Boutonnet,0.0,16
2024-09-01 22:02:38,2024-09-01 22:13:02,vélostation Plan Cabanes,vélostation Plan Cabanes,1096.0,619
2024-09-01 21:57:25,2024-09-01 22:31:10,vélostation Rue Jules Ferry - Gare Saint-Roch,vélostation Jardin de la Lironde,3438.0,2007
2024-09-01 21:56:05,2024-09-01 22:31:07,vélostation Rue Jules Ferry - Gare Saint-Roch,vélostation Jardin de la Lironde,3485.0,2096
2024-09-01 21:52:16,2024-09-01 22:12:22,vélostation Port Marianne,vélostation Jeu de Mail des Abbés,3702.0,1203
2024-09-01 21:47:59,2024-09-01 21:52:30,vélostation Observatoire,vélostation Saint-Guilhem,498.0,266
2024-09-01 21:38:12,2024-09-01 21:46:54,vélostation Jeu de Mail des Abbés,vélostation Comédie,1756.0,517
2024-09-01 21:36:31,2024-09-01 21:44:53,vélostation Boutonnet,vélostation Foch,1415.0,499
2024-09-01 21:34:48,2024-09-01 21:55:09,vélostation Observatoire,vélostation Hôtel de Ville,2131.0,1218
2024-09-01 21:34:26,2024-09-01 21:55:05,vélostation Observatoire,vélostation Hôtel de Ville,2262.0,1236
2024-09-01 21:34:10,2024-09-02 21:35:56,vélostation Aiguelongue,vélostation Comedie Baudin,2973.0,1291
2024-09-01 21:33:25,2024-09-01 22:07:47,vélostation fac des sciences,vélostation Richter,5405.0,2058
2024-09-01 21:32:47,2024-09-01 22:08:21,vélostation fac des sciences,vélostation Richter,5403.0,2130
2024-09-01 21:32:25,2024-09-01 21:55:36,vélostation Aiguelongue,vélostation Comedie Baudin,2662.0,1384
2024-09-01 21:31:57,2024-09-03 00:45:44,vélostation Aiguelongue,vélostation Comedie Baudin,2689.0,1435
2024-09-01 21:31:51,2024-09-01 21:47:30,vélostation Occitanie,vélostation Fac de Lettres,2219.0,935
2024-09-01 21:30:54,2024-09-01 21:47:28,vélostation Occitanie,vélostation Fac de Lettres,2223.0,989
2024-09-01 21:30:42,2024-09-01 21:31:06,vélostation Occitanie,vélostation Occitanie,0.0,19
2024-09-01 21:24:10,2024-09-01 21:40:47,vélostation Place Albert 1er - St Charles,vélostation fac des sciences,2233.0,993
2024-09-01 21:23:10,2024-09-01 21:43:25,vélostation Place Albert 1er - St Charles,vélostation fac des sciences,2172.0,1211
2024-09-01 21:22:57,2024-09-01 21:34:11,vélostation Nouveau Saint-Roch,vélostation Gambetta,2144.0,670
2024-09-01 21:22:32,2024-09-01 21:56:44,vélostation Place Albert 1er - St Charles,vélostation Occitanie,3704.0,2048
2024-09-01 21:20:56,2024-09-01 21:22:43,vélostation Nouveau Saint-Roch,vélostation Nouveau Saint-Roch,55.0,103
2024-09-01 21:16:33,2024-09-01 21:56:28,vélostation Albert 1er - Cathédrale,vélostation Occitanie,4073.0,2390
2024-09-01 21:15:39,2024-09-01 21:41:26,vélostation Albert 1er - Cathédrale,vélostation fac des sciences,2470.0,1542
2024-09-01 21:14:56,2024-09-01 21:26:11,vélostation Halles Castellane,vélostation Jeu de Mail des Abbés,1408.0,671
2024-09-01 21:13:49,2024-09-01 21:55:40,vélostation Comédie,vélostation Occitanie,6036.0,2506
2024-09-01 21:12:23,2024-09-01 21:55:07,vélostation Comédie,vélostation Occitanie,6032.0,2560
2024-09-01 21:09:40,2024-09-01 23:16:03,vélostation Pérols Etang de l'Or,vélostation Pérols Etang de l'Or,0.0,7579
2024-09-01 21:07:16,2024-09-01 23:15:58,vélostation Pérols Etang de l'Or,vélostation Pérols Etang de l'Or,8850.0,7717
2024-09-01 21:06:21,2024-09-01 23:15:50,vélostation Pérols Etang de l'Or,vélostation Pérols Etang de l'Or,9536.0,7765
2024-09-01 21:04:45,2024-09-01 21:07:58,vélostation Pérols Etang de l'Or,vélostation Pérols Etang de l'Or,157.0,189
2024-09-01 20:57:03,2024-09-01 21:24:34,vélostation Sabines,vélostation Observatoire,4357.0,1646
2024-09-01 20:56:16,2024-09-01 21:08:21,vélostation Boutonnet,vélostation Observatoire,2186.0,720
2024-09-01 20:55:59,2024-09-01 21:24:29,vélostation Sabines,vélostation Observatoire,4096.0,1705
2024-09-01 20:55:42,2024-09-01 21:10:08,vélostation Port Marianne,vélostation Rue Jules Ferry - Gare Saint-Roch,1925.0,862
2024-09-01 20:54:51,2024-09-01 20:55:11,vélostation Port Marianne,vélostation Port Marianne,0.0,15
2024-09-01 20:54:25,2024-09-01 21:15:37,vélostation Foch,vélostation Aiguelongue,4647.0,1268
2024-09-01 20:47:34,2024-09-01 22:02:53,vélostation Antigone centre,vélostation Antigone centre,7755.0,4515
2024-09-01 20:44:18,2024-09-01 21:22:23,vélostation Richter,vélostation Celleneuve,6164.0,2281
2024-09-01 20:43:59,2024-09-01 21:22:30,vélostation Richter,vélostation Celleneuve,6156.0,2306
2024-09-01 20:43:20,2024-09-01 20:53:29,vélostation fac des sciences,vélostation Vert Bois,1457.0,604
2024-09-01 20:42:46,2024-09-01 21:12:42,vélostation Albert 1er - Cathédrale,vélostation Beaux-Arts,2926.0,1792
2024-09-01 20:41:03,2024-09-01 20:51:11,vélostation Halles Castellane,vélostation Marie Caizergues,1666.0,604
2024-09-01 20:40:48,2024-09-01 22:43:08,vélostation Aiguelongue,vélostation Comédie,2648.0,7335
2024-09-01 20:40:25,2024-09-02 09:49:23,vélostation Albert 1er - Cathédrale,vélostation Beaux-Arts,2824.0,1928
2024-09-01 20:39:48,2024-09-01 20:40:09,vélostation Halles Castellane,vélostation Halles Castellane,0.0,16
2024-09-01 20:39:32,2024-09-01 20:42:23,vélostation Albert 1er - Cathédrale,vélostation Albert 1er - Cathédrale,18.0,165
2024-09-01 20:38:32,2024-09-01 20:38:53,vélostation Halles Castellane,vélostation Halles Castellane,0.0,17
2024-09-01 20:32:47,2024-09-01 20:53:18,vélostation Albert 1er - Cathédrale,vélostation Occitanie,3722.0,1227
